,Input Throttle,Actual Throttle,Altitude,Vertical Speed,Thrust,Drag,Yaw,Pitch
0,0.9990236271513169,0.3451412320137024,3.610379004967399,0.19637291369419363,70938.7265625,"(-0.01740937926767245, -0.00027278341453646204, -0.0010322909318298448)",-0.013739407993853092,0.002915923250839114
1,1.0,0.3451412320137024,3.9952194289071485,0.5728178364856441,70939.375,"(-0.10982636521786142, -0.0004675758794986159, -0.0027552288677177633)",0.0013419281458482146,-0.0002361261285841465
2,0.5048494735043131,0.9990236163139343,43.724189159693196,39.71489799075869,205529.546875,"(-443.6241829362833, 0.013215353560907514, 0.09334405168240048)",-0.0002841613895725459,0.0001300448493566364
3,0.29796933177676993,1.0,89.07820345764048,58.517925595919706,205955.09375,"(-964.9973025804152, 0.047599601974103165, 0.5879728965153496)",-0.0009383033611811697,0.00018215947784483433
4,0.0,0.5048494935035706,124.48356447089463,62.621456354754095,104065.5078125,"(-1113.41241040807, 0.06133708595589952, 1.0061797964715453)",-0.0010008880635723472,0.00028524306253530085
5,0.0,0.29796934127807617,168.36840585328173,62.45671164789937,61486.23046875,"(-1108.751527474666, 0.06750797000492254, 1.4640251531573574)",0.0007115078624337912,-0.00022053814609535038
6,0.0,0.0,186.79931200726423,60.03282800401302,0.0,"(-1029.9710703828696, 0.06533720560148594, 1.5991911957465086)",0.0006502475589513779,-4.47124766651541e-05
7,0.0,0.0,232.62374483968597,51.928767974950475,0.0,"(-771.5468147284455, 0.05544329255208887, 1.7799672447733836)",0.0006602245848625898,-0.00010033176658907905
8,0.0,0.0,296.2857628692873,37.963610873977814,0.0,"(-415.6358076855935, 0.03951062846333528, 1.7150116045126134)",0.0004451055428944528,-3.0209535907488316e-05
9,0.0,0.0,307.1980859208852,35.02245694932853,0.0,"(-354.82752915126446, 0.03631236633122827, 1.650950047699198)",0.0004669604531954974,-0.0001469047856517136
10,0.0,0.0,316.60229115677066,32.27982204747544,0.0,"(-302.50602173478734, 0.033375242391782384, 1.5779240196274378)",0.00038808706449344754,-0.00023800482449587435
11,0.00033859111292143475,0.0,325.8245510797715,29.343686706910166,0.0,"(-251.15855556821245, 0.030277439422901814, 1.4866829910051649)",0.0003377340908627957,-0.0001270187640329823
12,0.1,0.0,354.91305208427366,17.03404313677086,0.0,"(-88.0110911845045, 0.017777993032472635, 0.9840755767394523)",0.0001659515401115641,1.147376860899385e-05
13,0.0,0.00033858418464660645,364.18768070521764,10.408024356915309,70.19682312011719,"(-34.83078027501462, 0.011349141604211644, 0.6552385231127164)",0.0003149649128317833,-0.00014414975885301828
14,0.07316471182275563,0.09999999403953552,368.5580149879679,6.760441552468305,20734.658203125,"(-15.617953676833253, 0.007952196561952786, 0.4583713030825529)",4.347209323896095e-05,-3.420403299969621e-05
15,0.20798716890826835,0.0,370.83721131796483,1.683136729838905,0.0,"(-1.6675854438969742, 0.003383693990263519, 0.19788701681318413)",1.7532949641463347e-05,-4.70029772259295e-05
16,0.24116526628497437,0.07316470146179199,370.6408298347378,-2.1941278449381336,15171.3212890625,"(1.9024359939071598, 0.0029805437740503572, 0.17313762727922052)",-3.383752846275456e-05,-4.24148947786307e-06
17,0.27032048200498543,0.20798718929290771,367.29575407353695,-5.289120738590238,43124.640625,"(9.438306858676219, 0.006600844847967422, 0.3533010159124742)",7.050077692838386e-05,-0.00018208750407211483
18,0.29771465377526873,0.24116528034210205,361.54194605594967,-7.38827885755256,49997.2265625,"(17.5447397028345, 0.009594294137257552, 0.4629793825274825)",0.00020654717809520662,-4.6899043809389696e-05
19,0.30535416634681894,0.27032047510147095,355.9785140377935,-8.380629892765242,56034.30078125,"(22.267381208131923, 0.011538266931057955, 0.5102245228348042)",0.00018559231830295175,0.0001427527458872646
20,0.3287425722033211,0.2977146506309509,342.2511287602829,-9.1408390247772,61692.93359375,"(26.241249986215394, 0.014662041172880775, 0.5306320208627294)",4.279409040464088e-05,-7.023451325949281e-05
21,0.3346673536785484,0.30535417795181274,337.48456028453074,-9.250306463977306,63268.890625,"(26.840952653703628, 0.01559878000365319, 0.5290981829710615)",0.00019138141942676157,-1.776103636075277e-05
22,0.0,0.3287425637245178,324.3722863093717,-8.426892786833983,68093.8203125,"(22.54798652856998, 0.0165782572833976, 0.46994390075828446)",0.0001202129787998274,1.4875127817504108e-05
23,0.3356187369665519,0.3346673548221588,320.5679038790986,-8.065588671446303,69314.8203125,"(20.77559131106072, 0.01660444924482666, 0.4474585937822822)",8.163915481418371e-05,-1.4443638974626083e-05
24,0.4322821203293808,0.0,307.4499073984334,-17.560257546101884,0.0,"(89.31267148956866, 0.032551217838649914, 0.8446086074768843)",8.48824784043245e-05,-0.00010752250091172755
25,0.4440612336081765,0.3356187343597412,288.6909747803584,-17.266738148246112,69460.0546875,"(88.3944121073694, 0.03558154780177171, 0.7973025830033366)",0.0001992677425732836,0.000108727952465415
26,0.40929443349917105,0.43228211998939514,267.27636485686526,-11.527718015187576,89419.6875,"(40.8829182276647, 0.02857367074889645, 0.5125927013469155)",4.6955323341535404e-05,-9.914902329910547e-05
27,0.39261124976621814,0.4440612196922302,262.08495356247295,-9.329829218438967,91844.703125,"(27.382044112172537, 0.024801289850764855, 0.4165916581948463)",0.00010981931700371206,-1.40902484417893e-05
28,0.3554971909628042,0.4092944264411926,252.1933319332311,-4.312633339558477,84633.6171875,"(6.537539538969039, 0.014404166333493411, 0.20820433752164683)",8.947767491918057e-05,1.2511113709479105e-05
29,0.2912078657858259,0.39261123538017273,250.7168929866748,3.0937411120078604,81180.4375,"(-3.387984365418558, 0.012414927987351871, 0.15150816065116446)",3.6777106288354844e-05,-0.00013406379730440676
30,0.2654193592303943,0.35549718141555786,256.6688293397892,5.678959529314018,73516.5703125,"(-10.46198986179273, 0.022629783938473317, 0.26290894351568933)",-5.643121767207049e-05,-9.800730367715005e-06
31,0.2569523146588819,0.291207879781723,261.1490870503476,5.661968550092898,60227.98828125,"(-10.575529123427062, 0.023774130031134665, 0.2722440593392299)",7.861703488742933e-05,-1.6987536582746543e-05
32,0.26334475380057254,0.2654193639755249,267.43464457790833,4.4743365046826105,54902.66796875,"(-6.951760972566316, 0.020796284643787303, 0.23317169715046335)",-7.517426752201573e-07,-0.0001255618262803182
33,0.0,0.25695231556892395,269.9701391237322,3.715905300579295,53154.4765625,"(-5.01224628743318, 0.018476921551085296, 0.2048570622905816)",8.506524864060339e-06,-4.166744838585146e-05
34,0.27169998920671884,0.26334476470947266,271.6887140198378,3.1921171434277484,54479.1015625,"(-3.8383250266871114, 0.016781498831836366, 0.18413972122653866)",0.00010358919826103374,-1.7319774997304194e-05
35,0.31305501660551427,0.0,272.2111580183264,-1.547709433556879,0.0,"(0.925057600492595, 0.008337006544666938, 0.09174476980843387)",-1.920000977406744e-05,-3.450242502367473e-06
36,0.32541647254961814,0.271699994802475,270.25866214430425,-2.682051918490327,56205.984375,"(2.7854753649658877, 0.014911551436210892, 0.15865528860761174)",-7.774588448228315e-05,-5.826591223012656e-05
37,0.29220306375445837,0.31305500864982605,267.3637321128044,-1.9102744936013796,64756.5,"(1.6088811509239405, 0.012773058127511882, 0.12786550035941055)",2.0970628611394204e-07,-3.623350494308397e-05
38,0.29600007209699586,0.3254164755344391,266.1749172663549,0.999015711017314,67311.421875,"(-0.5578219865260423, 0.009481296649495619, 0.08525483276584493)",-1.1584603271330707e-05,-2.00870526896324e-05
39,0.2935487656040255,0.29220306873321533,266.7228557225317,1.1302060477893445,60442.1171875,"(-0.6966446038207998, 0.01067372265505685, 0.09448012024455892)",-9.67494779615663e-05,2.413498987152707e-05
40,0.28635544177555716,0.29600006341934204,270.05599029676523,1.8289364013847018,61232.33203125,"(-1.492351137665681, 0.015405510852809742, 0.1277335492556761)",-4.773231012222823e-06,-9.33857008931227e-05
41,0.2780651240284799,0.2935487627983093,273.5077544138767,2.337044477037748,60730.19140625,"(-2.2548707061235875, 0.019385493895524106, 0.15395718097094796)",-4.5157827116781846e-05,-0.0001616293884580955
